Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,,,2011 - 13,63.0,62.9,63.2,,,,,,,Not compared,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,,,2011 - 13,63.9,63.7,64.1,,,,,,,Not compared,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E92000001,England,England,Male,All ages,,,2011 - 13,63.0,62.9,63.2,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E92000001,England,England,Female,All ages,,,2011 - 13,63.9,63.7,64.1,,,,,,,Similar,Not compared,20110000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,,,2012 - 14,63.2,63.0,63.4,,,,,,,Not compared,Not compared,20120000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,,,2012 - 14,63.9,63.8,64.1,,,,,,,Not compared,Not compared,20120000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E92000001,England,England,Male,All ages,,,2012 - 14,63.2,63.0,63.4,,,,,,,Similar,Not compared,20120000,,,3y
90362,Healthy life expectancy at birth,E92000001,England,E92000001,England,England,Female,All ages,,,2012 - 14,63.9,63.8,64.1,,,,,,,Similar,Not compared,20120000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,,,2013 - 15,63.2,63.0,63.4,,,,,,,Not compared,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Most deprived decile,2013 - 15,52.1,51.5,52.6,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Second most deprived decile,2013 - 15,56.2,55.7,56.8,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Third more deprived decile,2013 - 15,59.4,58.9,60.0,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fourth more deprived decile,2013 - 15,61.7,61.1,62.2,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fifth more deprived decile,2013 - 15,64.0,63.4,64.5,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fifth less deprived decile,2013 - 15,65.0,64.5,65.6,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fourth less deprived decile,2013 - 15,66.8,66.3,67.4,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Third less deprived decile,2013 - 15,67.5,66.9,68.0,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Second least deprived decile,2013 - 15,68.4,67.9,69.0,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Male,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Least deprived decile,2013 - 15,70.4,69.8,70.9,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,,,2013 - 15,64.2,64.0,64.4,,,,,,,Not compared,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Most deprived decile,2013 - 15,52.2,51.6,52.8,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Second most deprived decile,2013 - 15,56.0,55.4,56.6,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Third more deprived decile,2013 - 15,59.5,58.9,60.2,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fourth more deprived decile,2013 - 15,62.7,62.1,63.3,,,,,,,Worse,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fifth more deprived decile,2013 - 15,64.7,64.1,65.3,,,,,,,Similar,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fifth less deprived decile,2013 - 15,66.7,66.1,67.3,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Fourth less deprived decile,2013 - 15,67.1,66.5,67.7,,,,,,,Better,Not compared,20130000,,,3y
90362,Healthy life expectancy at birth,,,E92000001,England,England,Female,All ages,"LSOA21 deprivation deciles within area (IMD trend)
",Third less deprived decile,2013 - 15,68.5,67.9,69.1,,,,,,,Better,Not compared,20130000,,,3y
